,Indice,Ano,Novela,Média,Emissora,Horário,ID_novel
166,58,1998,Pecado  Capital,268,GLOBO ,NOVELAS DAS 18H,pecadocapital1998
167,59,1999,Força de um  Desejo,246,GLOBO ,NOVELAS DAS 18H,forcadeumdesejo1999
168,60,,,,GLOBO ,NOVELAS DAS 18H,
170,62,2000,Esplendor,275,GLOBO ,NOVELAS DAS 18H,esplendor2000
171,63,2000,O Cravo e a  Rosa,306,GLOBO ,NOVELAS DAS 18H,ocravoearosa2000
172,64,2001,Estrela-Guia,309,GLOBO ,NOVELAS DAS 18H,estrelaguia2001
173,65,2001,A Padroeira,262,GLOBO ,NOVELAS DAS 18H,apadroeira2001
174,66,2002,Coração de  Estudante,300,GLOBO ,NOVELAS DAS 18H,coracaodeestudante2002
175,67,2002,Sabor da  Paixão,240,GLOBO ,NOVELAS DAS 18H,sabordapaixao2002
176,68,2003,Agora é que  São Elas,284,GLOBO ,NOVELAS DAS 18H,agoraequesaoelas2003
177,69,2003,Chocolate  com Pimenta,354,GLOBO ,NOVELAS DAS 18H,chocolatecompimenta2003
178,70,2004,Cabocla,345,GLOBO ,NOVELAS DAS 18H,cabocla2004
179,71,2004,Como uma  Onda,267,GLOBO ,NOVELAS DAS 18H,comoumaonda2004
180,72,2005,Alma Gêmea,387,GLOBO ,NOVELAS DAS 18H,almagemea2005
181,73,2006,Sinhá Moça,333,GLOBO ,NOVELAS DAS 18H,sinhamoca2006
182,74,2006,O Profeta,327,GLOBO ,NOVELAS DAS 18H,oprofeta2006
183,75,2007,Eterna  Magia,258,GLOBO ,NOVELAS DAS 18H,eternamagia2007
184,76,2007,Desejo  Proibido,234,GLOBO ,NOVELAS DAS 18H,desejoproibido2007
185,77,2008,Ciranda de  Pedra,221,GLOBO ,NOVELAS DAS 18H,cirandadepedra2008
186,78,2008,Negócio da  China,204,GLOBO ,NOVELAS DAS 18H,negociodachina2008
187,79,2009,Paraíso,255,GLOBO ,NOVELAS DAS 18H,paraiso2009
188,80,2009,Cama de Gato,244,GLOBO ,NOVELAS DAS 18H,camadegato2009
189,81,,,,GLOBO ,NOVELAS DAS 18H,
191,83,2010,Escrito nas  Estrelas,256,GLOBO ,NOVELAS DAS 18H,escritonasestrelas2010
192,84,2010,Araguaia,229,GLOBO ,NOVELAS DAS 18H,araguaia2010
193,85,2011,Cordel  Encantado,259,GLOBO ,NOVELAS DAS 18H,cordelencantado2011
194,86,2011,A Vida da  Gente,218,GLOBO ,NOVELAS DAS 18H,avidadagente2011
195,87,2012,Amor Eterno Amor,230,GLOBO ,NOVELAS DAS 18H,amoreternoamor2012
196,88,2012,Lado a Lado,182,GLOBO ,NOVELAS DAS 18H,ladoalado2012
197,89,2013,Flor do Caribe,213,GLOBO ,NOVELAS DAS 18H,flordocaribe2013
198,90,2013,Joia Rara,184,GLOBO ,NOVELAS DAS 18H,joiarara2013
199,91,2014,Meu  Pedacinho de Chão,178,GLOBO ,NOVELAS DAS 18H,meupedacinhodechao2014
200,92,2014,Boogie  Oogie,175,GLOBO ,NOVELAS DAS 18H,boogieoogie2014
201,93,2015,Sete Vidas,194,GLOBO ,NOVELAS DAS 18H,setevidas2015
202,94,2015,Além do  Tempo,198,GLOBO ,NOVELAS DAS 18H,alemdotempo2015
203,95,2016,Eta Mundo  Bom!,271,GLOBO ,NOVELAS DAS 18H,etamundobom2016
204,96,2016,Sol  Nascente,212,GLOBO ,NOVELAS DAS 18H,solnascente2016
205,97,2017,Novo Mundo,238,GLOBO ,NOVELAS DAS 18H,novomundo2017
206,98,2017,Tempo de Amar,227,GLOBO ,NOVELAS DAS 18H,tempodeamar2017
207,99,2018,Orgulho e  Paixão,215,GLOBO ,NOVELAS DAS 18H,orgulhoepaixao2018
208,100,2018,Espelho da  Vida,178,GLOBO ,NOVELAS DAS 18H,espelhodavida2018
209,101,2019,Órfãos da  Terra,218,GLOBO ,NOVELAS DAS 18H,orfaosdaterra2019
210,102,2019,Éramos Seis,208,GLOBO ,NOVELAS DAS 18H,eramosseis2019
211,103,,,,GLOBO ,NOVELAS DAS 18H,
213,105,2021,Nos Tempos  do Imperador,170,GLOBO ,NOVELAS DAS 18H,nostemposdoimperador2021
214,106,2022,Além da  Ilusão,191,GLOBO ,NOVELAS DAS 18H,alemdailusao2022
215,107,2022,Mar do  Sertão,-,GLOBO ,NOVELAS DAS 18H,mardosertao2022
216,108,,,,GLOBO ,NOVELAS DAS 18H,
217,109,Ano,Reprise,Média,GLOBO ,NOVELAS DAS 18H,repriseAno
