,0,1,2,Emissora,Horario
63,2000,O Cravo e a  Rosa,306,GLOBO ,NOVELAS DAS 18H
64,2001,Estrela-Guia,309,GLOBO ,NOVELAS DAS 18H
65,2001,A Padroeira,262,GLOBO ,NOVELAS DAS 18H
66,2002,Coração de  Estudante,300,GLOBO ,NOVELAS DAS 18H
67,2002,Sabor da  Paixão,240,GLOBO ,NOVELAS DAS 18H
68,2003,Agora é que  São Elas,284,GLOBO ,NOVELAS DAS 18H
69,2003,Chocolate  com Pimenta,354,GLOBO ,NOVELAS DAS 18H
70,2004,Cabocla,345,GLOBO ,NOVELAS DAS 18H
71,2004,Como uma  Onda,267,GLOBO ,NOVELAS DAS 18H
72,2005,Alma Gêmea,387,GLOBO ,NOVELAS DAS 18H
73,2006,Sinhá Moça,333,GLOBO ,NOVELAS DAS 18H
74,2006,O Profeta,327,GLOBO ,NOVELAS DAS 18H
75,2007,Eterna  Magia,258,GLOBO ,NOVELAS DAS 18H
76,2007,Desejo  Proibido,234,GLOBO ,NOVELAS DAS 18H
77,2008,Ciranda de  Pedra,221,GLOBO ,NOVELAS DAS 18H
78,2008,Negócio da  China,204,GLOBO ,NOVELAS DAS 18H
79,2009,Paraíso,255,GLOBO ,NOVELAS DAS 18H
80,2009,Cama de Gato,244,GLOBO ,NOVELAS DAS 18H
81,,,,GLOBO ,NOVELAS DAS 18H
82,Ano,Novela,Média,GLOBO ,NOVELAS DAS 18H
83,2010,Escrito nas  Estrelas,256,GLOBO ,NOVELAS DAS 18H
84,2010,Araguaia,229,GLOBO ,NOVELAS DAS 18H
85,2011,Cordel  Encantado,259,GLOBO ,NOVELAS DAS 18H
86,2011,A Vida da  Gente,218,GLOBO ,NOVELAS DAS 18H
87,2012,Amor Eterno Amor,230,GLOBO ,NOVELAS DAS 18H
88,2012,Lado a Lado,182,GLOBO ,NOVELAS DAS 18H
89,2013,Flor do Caribe,213,GLOBO ,NOVELAS DAS 18H
90,2013,Joia Rara,184,GLOBO ,NOVELAS DAS 18H
91,2014,Meu  Pedacinho de Chão,178,GLOBO ,NOVELAS DAS 18H
92,2014,Boogie  Oogie,175,GLOBO ,NOVELAS DAS 18H
93,2015,Sete Vidas,194,GLOBO ,NOVELAS DAS 18H
94,2015,Além do  Tempo,198,GLOBO ,NOVELAS DAS 18H
95,2016,Eta Mundo  Bom!,271,GLOBO ,NOVELAS DAS 18H
96,2016,Sol  Nascente,212,GLOBO ,NOVELAS DAS 18H
97,2017,Novo Mundo,238,GLOBO ,NOVELAS DAS 18H
